Bold Summand,Fermat Summand,m,Structure
,1+2+8+16 ,"252,645,135","Z2 x Z4 x Z256 x Z65,536 "
0,1+2+8+16 ,"505,290,270","Z2 x Z4 x Z256 x Z65,536 "
1,2+8+16,"336,860,180","Z2 x Z4 x Z256 x Z65,536 "
2,1+8+16,"404,232,216","(Z2)^3 x Z256 x Z65,536 "
3,8+16 ,"269,488,144","Z2 x Z4 x Z256 x Z65,536 "
4,1+2+4+16 ,"534,781,920","(Z2)^2 x Z4 x Z8 x Z16 x Z65,536"
5,2+4+16 ,"356,521,280","Z2 x Z4 x (Z16)^2 x Z65,536 "
6,1+4+16 ,"427,825,536","(Z2)^2 x Z16 x Z32 x Z65,536 "
7,4+16 ,"285,217,024","Z2 x Z16 x Z64 x Z65,536 "
8,1+2+16 ,"503,324,160","(Z2)^2 x Z4 x Z128 x Z65,536 "
9,2+16 ,"335,549,440","Z2 x Z4 x Z256 x Z65,536 "
10,1+16 ,"402,659,328","(Z2)^2 x Z512 x Z65,536 "
11,16,"268,439,552","Z2 x Z1024 x Z65,536 "
12,1+2+4+8 ,"536,862,720",(Z2)^2 x Z4 x Z16 x Z256 x Z2048 
13,2+4+8 ,"357,908,480",Z2 x Z4 x Z16 x Z256 x Z4096 
14,1+4+8 ,"429,490,176",(Z2)^2 x Z16 x Z256 x Z8192 
15,4+8 ,"286,326,784","Z2 x Z16 x Z256 x Z16,384"
16,1+2+8 ,"505,282,560","(Z2)^2 x Z4 x Z256 x Z32,768"
17,2+8 ,"336,855,040","Z2 x Z4 x Z256 x Z65,536 "
18,1+8 ,"404,226,048","(Z2)^2 x Z256 x Z131,072 "
19,8,"269,484,032","Z2 x Z256 x Z262,144 "
20,1+2+4 ,"534,773,760","(Z2)^2 x Z4 x Z16 x Z524,288 "
21,2+4 ,"256,515,840","Z2 x Z4 x Z16 x Z1,048,576"
22,1+4 ,"427,819,008","(Z2)^2 x Z16 x Z2,097,152 "
23,4,"285,212,672","Z2 x Z16 x Z4,194,304 "
24,1+2 ,"503,316,480","(Z2)^2 x Z4 x Z8,388,608 "
25,2,"335,544,320","Z2 x Z4 x Z16,777,216 "
26,1,"402,653,184","(Z2)^2 x 33,554,432 "
27,,"268,435,456","Z2 x Z67,108,864"
