Bold Summand,Fermat Summand,m,Structure
,2+8+16,"84,215,045","Z4 x Z256 x Z65,536"
0,2+8+16,"168,430,090","Z4 x Z256 x Z65,536"
1,1+8+16,"202,166,108","(Z2)^2 x Z256 x Z65,536"
2,8+18,"134,744,072","(Z2)^2 x Z256 x Z65,536"
3,1+2+4+16,"267,390,960","(Z2)^2 x (Z4)^2 x Z16 x Z65,536"
4,2+4+16,"178,260,640","Z2 x Z4 x Z8 x Z16 x Z65,536"
5,1+4+16,"213,912,768","(Z2)^2 x (Z16)^2 x Z65,536"
6,4+16,"142,608,512","Z2 x Z16 x Z32 x Z65,536"
7,1+2+16,"251,662,080","(Z2)^2 x Z4 x Z64 x Z65,536"
8,2+16,"167,774,720","Z2 x Z4 x Z128 x Z65,536"
9,1+16,"201,329,664","(Z2)^2 x Z256 x Z65,536"
10,16,"134,219,776","Z2 x Z512 x Z65,536"
11,1+2+4+8,"268,431,360",(Z2)^2 x Z4 x Z16 x Z256 x Z1024
12,2+4+8,"178,954,240",Z2 x Z4 x Z16 x Z256 x Z2048
13,1+4+8,"214,745,088",(Z2)^2 x Z16 x Z256 x Z4096
14,4+8,"143,163,392",Z2 x Z16 x Z256 x Z8192
15,1+2+8,"252,641,280","(Z2)^2 x Z4 x Z256 x Z16,384"
16,2+8,"168,427,520","Z2 x Z4 x Z256 x Z32,768"
17,1+8,"202,113,024","(Z2)^2 x Z256 x Z65,536"
18,8,"134,742,016","Z2 x Z256 x Z131,072"
19,1+2+4,"267,386,880","(Z2)^2 x Z4 x Z16 x Z262,144"
20,2+4,"178,257,920","Z2 x Z4 x Z16 x Z524,288"
21,1+4,"213,909,504","(Z2)^2 x Z16 x Z1,048,576"
22,4,"142,606,336","Z2 x Z16 x Z2,097,152"
23,1+2,"251,658,240","(Z2)^2 x Z4 x Z4,194,304"
24,2,"167,772,160","Z2 x Z4 x Z8,388,608"
25,1,"201,326,592","(Z2)^2 x Z16,777,216"
26,,"134,217,728","Z2 x Z33,554,432"
