Bold Summand,Fermat Summand,m,Structure
,1+8+16,"50,529,027","Z2 x Z256 x Z65,536 "
0,1+8+16,"101,058,054","Z2 x Z256 x Z65,536 "
1,8+16 ,"67,372,036","Z2 x Z256 x Z65,536 "
2,1+2+4+16,"133,695,480","(Z2)^3 x Z4 x Z16 x Z65,536 "
3,2+4+16,"89,130,320","Z2 x (Z4)^2 x Z16 x Z65,536 "
4,1+4+16,"106,956,384","(Z2)^2 x Z8 x Z16 x Z65,536 "
5,4+16,"71,304,256","Z2 x (Z16)^2 x Z65,536 "
6,1+2+16 ,"125,831,040","(Z2)^2 x Z4 x Z32 x Z65,536 "
7,2+16 ,"83,887,360","Z2 x Z4 x Z64 x Z65,536"
8,1+16 ,"100,664,832","(Z2)^2 x Z128 x Z65,536 "
9,16,"67,109,888","Z2 x Z256 x Z65,536 "
10,1+2+4+8,"134,215,680",(Z2)^2 x Z4 x Z16 x Z256 x Z512 
11,2+4+8,"89,477,120",Z2 x Z4 x Z256 x Z1024 
12,1+4+8,"7,372,544",(Z2)^2 x Z16 x Z256 x Z2048 
13,4+8,"71,581,696",Z2 x Z16 x Z256 x Z4096
14,1+2+8,"126,320,640",(Z2)^2 x Z4 x Z256 x Z8192
15,2+8,"84,213,760","Z2 x Z4 x Z256 x Z16,384 "
16,1+8,"101,056,512","(Z2)^2 x Z256 x Z32,768"
17,8,"67,371,008","Z2 x Z256 x Z65,536 "
18,1+2+4,"133,693,440","(Z2)^2 x Z4 x Z16 x Z131,072 "
19,2+4,"89,128,960","Z2 x Z4 x Z16 X 262,144 "
20,1+4,"106,954,752","(Z2)^2 x Z16 x Z524,288"
21,4,"71,303,168","Z2 x Z16 x Z1,048,576 "
22,1+2,"125,829,120","(Z2)^2 x Z4 x Z2,097,152"
23,2,"83,886,080","Z2 x Z4 x Z4,194,304"
24,1,"100,663,296","(Z2)^2 x Z8,388,608"
25,,"67,108,864","Z2 x Z16,777,216 "
