Bold Summand,Fermat Summand,m,Structure,Generators
,4+8,4396,Z16 x Z256,"< 258, 3 >"
0,4+8,8738,Z16 x Z256,"< 513, 3 >"
1,1+2+8,"15,420",(Z2)^2 x Z4 x Z256,"< 1541, 3599, 1027, 7 >"
2,2+8,"10,280",(Z2)^2 x Z4 x Z256,"< 2571, 1541, 513, 3 >"
3,1+8,"12,336",(Z2)^2 x Z4 x Z256,"< 1543, 2057, 515, 5 >"
4,8,8224,Z2 x Z8 x Z256,"< 3599, 515, 3 >"
5,1+2+4,"16,340",(Z2)^2 x Z4 x (Z16)^2,"< 1121, 511, 47, 13, 7 >"
6,2+4,"10,880",Z2 x Z4 x Z16 x Z32,"< 511, 33, 7, 3 >"
7,1+4,"13,056",(Z2)^2 x Z16 x Z64,"< 2177, 511, 31, 5 >"
8,4,8704,Z2 x Z16 x Z128,"< 511, 31, 3 >"
9,1+2,"15,360",(Z2)^2 x Z4 x Z256,"< 511, 2561, 4097, 11 >"
10,2,"10,240",Z2 x Z4 x Z512,"< 3701, 4097, 3 >"
11,1,"12,888",(Z2)^2 x Z1024,"< 6143, 2047, 5 >"
12,,8192,Z2 x Z2048,"< 4095, 3 >"
