Bold Summand,Fermat Summand,m,Structure,Generators
,4,17,Z16,< 3 >
0,4,34,Z16,< 3 >
1,1+2,60,(Z2)^2 x Z4,"< 19, 11, 7 >"
2,2,40,(Z2)^2 x Z4,"< 21, 11, 3 >"
3,1,48,(Z2)^2 x Z4,"< 17, 7, 5 >"
4,,32,Z2 x Z8,"< 15, 3 >"
