Bold Summand,Fermat Summand,m,Structure,Generators
,2+4,85,Z4 x Z16,"< 13, 3 >"
0,2+4,170,Z4 x Z16,"< 13, 3 >"
1,1+4,204,(Z2)^2 x Z16,"< 67, 35, 5 >"
2,4,136,(Z2)^2 x Z16,"< 65, 39, 3 >"
3,1+2,240,(Z2)^2 x (Z4)^2,"< 31, 41, 7, 11 >"
4,2,160,Z2 x Z4 x Z8,"< 31, 7, 3 >"
5,1,192,(Z2)^2 x Z16,"< 31, 65, 29 >"
6,,128,Z2 x Z32,"< 63, 3 >"
