Bold Summand,Fermat Summand,m,Structure
,2+4+8+16,"1,431,655,765","Z4 x Z16 x Z256 x Z65,536"
0,2+4+8+16,"2,863,311,530",Z4 x Z16 x Z256 x Z65536
1,1+4+8+16,"3,435,973,836","(Z2)^2 x Z16 x Z256 x Z65,536"
2,4+8+16,"2,290,649,224","(Z2)^2 x Z16 x Z256 x Z65,536"
3,1+2+8+16,"4,042,322,160","(Z2)^2 x (Z4)^2 x Z256 x Z65,536"
4,2+8+16,"2,694,881,440","Z2 x Z4 x Z8 x Z256 x Z65,536"
5,1+8+16,"3,233,857,728","(Z2)^2 x Z16 x Z256 x Z65,536"
6,8+16,"2,155,905,152","Z2 x Z32 x Z256 x Z65,526"
7,1+2+4+16,"4,278,255,360","(Z2)^2 x Z4 x Z16 x Z64 x Z65,536"
8,2+4+16,"2,852,170,240","Z2 x Z4 x Z16 x Z128 x Z65,536"
9,1+4+16,"3,422,604,288","(Z2)^2 x Z16 x Z256 x Z65,536"
10,4+16,"2,281,736,192","Z2 x Z16 x Z512 x Z65,536"
11,1+2+16,"4,026,593,280","(Z2)^2 x Z4 x Z1024 x Z65,536"
12,2+16,"2,684,395,520","Z2 x 4 x Z2048 x Z65,536"
13,1+16,"3,221,274,624","(Z2)^2x Z4096 x Z65,536"
14,16,"2,147,516,416","Z2 x Z8192 x Z65,536"
15,1+2+4+8,"4,294,901,760","(Z2)^2 x Z4 x Z16 x Z256 x Z16,384"
16,2+4+8,"2,863,267,840","Z2 x Z4 x Z16 x Z256 x Z32,768"
17,1+4+8,"3,435,921,408","(Z2)^2 x Z16 x Z256 x Z65,536"
18,4+8,"2,290,614,272","Z2 x Z16 x Z256 x Z131,072"
19,1+2+8,"4,042,260,480","(Z2)^2 x Z4 x Z256 x Z262,144"
20,2+8,"2,694,840,320","Z2 x Z4 x Z256 x Z524,288"
21,1+8,"3,233,808,384","(Z2)^2 x Z256 x Z1,048,576"
22,8,"2,155,872,256","Z2 x Z256 x Z2,097,152"
23,1+2+4,"4,278,190,080","(Z2)^2 x Z4 x Z16 x Z4,194,304"
24,2+4,"2,852,126,720","Z2 x Z4 x Z16 x Z8,388,608"
25,1+4,"3,422,552,064","(Z2)^2 x Z16 x Z16,777,216"
26,4,"2,281,701,376","Z2 x Z16 x Z33,554,432"
27,1+2,"4,026,531,840","(Z2)^2 x Z4 x Z67,108,864"
28,2,"2,684,354,560","Z2 x Z4 x Z134,217,728"
29,1,"3,221,225,472","Z2xZ2 x Z268,435,456"
30,,"2,147,483,648","Z2 x Z536,870,912"
