Bold Summand,Fermat Summand,m,Structure,Generators
,1+2+4,255,Z2 x Z4 x Z16,"< 86, 13, 7 >"
0,1+2+4,510,Z2 x Z4 x Z16,"< 101, 13, 7 >"
1,2+4,340,Z2 x Z4 x Z16,"< 171, 13, 3 >"
2,1+4,408,(Z2)^3 x Z16,"< 101, 67, 35, 5 >"
3,4,272,Z2 x Z4 x Z16,"< 103, 13, 3 >"
4,1+2,480,(Z2)^2 x Z4 x Z8,"< 161, 31, 7, 11 >"
5,2,320,Z2 x Z4 x Z16,"< 31, 17, 3 >"
6,1,384,(Z2)^2 x Z32,"< 127, 65, 11 >"
7,,256,Z2 x Z64,"< 127, 5 >"
