Bold Summand,Fermat Summand,m,Structure,Generators
,1+8,771,Z2 x Z256,"< 515, 7 >"
0,1+8,1542,Z2 x Z256,"< 515, 7 >"
1,8,1028,Z2 x Z256,"< 515, 7 >"
2,1+2+4,2040,(Z2)^3 x Z4 x Z16,"< 271, 239, 101, 13, 7 >"
3,2+4,1360,Z2 x (Z4)^2 x Z16,"< 239, 21, 13, 3 >"
4,1+4,1632,(Z2)^2 x Z8 x Z16,"<271, 239, 13, 5 >"
5,4,1088,Z2 x (Z16)^2,"< 511, 19, 7 >"
6,1+2,1920,(Z2)^2 x Z4 x Z32 ,"< 319, 191, 127, 11 >"
7,2,1280,Z2 x Z4 x Z128,"< 1279, 63, 11 >"
8,1,1536,(Z2)^2 x Z128,"< 1535, 257, 11 >"
9,,1024,Z2 x Z256,"< 1023, 5 >"
