Bold Summand,Fermat Summand,m,Structure
,1+4+8+16 ,"858,993,459","Z2 x Z16 x Z256 x Z65,536"
0,1+4+8+16,"1,717,986,918","Z2 x Z16 x Z256 x Z65,536"
1,4+8+16,"1,145,324,612","Z2 x Z16 x Z256 x Z65,536"
2,1+2+8+16,"2,021,161,080","(Z2)^3 x Z4 x Z256 x Z65,536 "
3,2+8+16 ,"1,347,440,720","Z2 x (Z4)^2 x Z256 x Z65,536"
4,1+8+16 ,"1,616,928,864","(Z)2^2 x Z8 x Z256 x Z65,536"
5,8+16 ,"1,077,952,576","Z2 x Z16 x Z256 x Z65,536"
6,1+2+4+16 ,"2,139,127,680","(Z2)^2 x Z4 x Z16 x Z32 x Z65,536 "
7,2+4+16,"1,426,085,120","Z2 x Z4 x Z16 x Z64 x Z65,536"
8,1+4+16,"1,711,302,144","(Z2)^2 x Z16 x Z128 x Z65,536"
9,4+16,"1,140,868,096","Z2 x Z16 x Z256 x Z65,536"
10,1+2+16,"2,013,296,640","(Z2)^2 x Z4 x Z512 x Z65,536 "
11,2+16,"1,342,197,760","Z2 x Z4 x Z1024 x Z65,536"
12,1+16,"1,610,637,312","(Z2)^2 x Z2048 x Z65,536"
13,16,"1,073,758,208","Z2 x Z4096 x Z65,536"
14,1+2+4+8,"2,147,450,880",(Z2)^2 x Z4 x Z16 x Z256 x Z8196
15,2+4+8,"1,431,633,920","Z2 x Z4 x Z16 x Z256 x Z16,384"
16,1+4+8,"1,717,960,704","(Z2)^2 x Z16 x Z256 x Z32,768"
17,4+8,"1,145,307,136","Z2 x Z16 x Z256 x Z65,536"
18,1+2+8,"2,021,130,240"," (Z2)^2 x Z4 x Z256 x Z131,072"
19,2+8,"1,347,420,160","Z2 x Z4 x Z256 x Z262,144"
20,1+8,"1,616,904,192"," (Z2)^2 x Z256 x Z524,288"
21,8,"1,077,936,128","Z2 x Z256 x Z1,048,576"
22,1+2+4,"2,139,095,040"," (Z2)^2 x Z4 x Z16 x Z2,097,152"
23,2+4,"1,426,063,360","Z2 x Z4 x Z16 x Z4,194,304"
24,1+4,"1,711,276,032","(Z2)^2 x Z16 x Z8,388,608"
25,4,"1,140,850,688","Z2 x Z16 x Z16,777,216"
26,1+2,"2,013,265,920"," (Z2)^2 x Z4 x Z33,554,432"
27,2,"1,342,177,280","Z2 x Z4 x Z67,108,864"
28,1,"1,610,612,736"," (Z2)^2 x Z134,217,728"
29,,"1,073,741,824","Z2 x Z268,435,456"
