Bold Summand,Fermat Summand,m,Structure,Generators
,2,5,Z4,< 2 >
0,2,10,Z4,< 3 >
1,1,12,(Z2)^2,"< 5, 7 >"
2,,8,(Z2)^2,"< 3, 5 >"
