Bold Summand,Fermat Summand,m,Structure
,1+2+4+16 ,"16,711,935","Z2 x Z4 x Z16 x Z65,536"
0,1+2+4+16,"33,423,870","Z2 x Z4 x Z16 x Z65,536"
1,2+4+16,"22,282,580","Z2 x Z4 x Z16 x Z65,536"
2,1+4+16,"26,739,096","(Z2)^3 x Z16 x Z65,536 "
3,4+16,"17,826,064","Z2 x Z4 x Z16 x Z65,536"
4,1+2+16,"31,457,760","(Z2)^2 x Z4 x Z8 x Z65,536 "
5,2+16,"20,971,840","Z2 x Z4 x Z16 x Z65,536"
6,1+16,"25,166,208","(Z2)^2 x Z32 x 65,536 "
7,16,"16,777,472","Z2 x Z64 x Z65,536 "
8,1+2+4+8,"33,553,920",(Z2)^2 x Z4 x Z16 x Z32 x Z128 x Z256 
9,2+4+8,"22,369,280",Z2 x Z4 x Z16 x (Z256)^2 
10,1+4+8,"26,843,136",(Z2)^2 x Z16 x Z256 x Z512 
11,4+8,"17,895,424",Z2 x Z16 x Z256 x Z1024 
12,1+2+8,"31,580,160",(Z2)^2 x Z4 x Z256 x Z2048 
13,2+8,"21,053,440",Z2 x Z4 x Z256 x Z4096 
14,1+8,"25,264,128",(Z2)^2 x Z256 x Z8192 
15,8,"16,842,752","Z2 x Z256 x Z16,384 "
16,1+2+4,"33,423,360","(Z2)^2 x Z4 x Z16 x Z32,768 "
17,2+4,"22,282,240","Z2 x Z4 x Z16 x Z65,536"
18,1+4,"26,738,688","(Z2)^2 x Z16 x Z131,072"
19,4,"17,825,792","Z2 x Z16 x Z262,144"
20,1+2,"31,457,280","(Z2)^2 x Z4 x Z524,288 "
21,2,"20,971,520","Z2 x Z4 x Z1,048,576"
22,1,"25,165,824","(Z2)^2 x Z2,097,152"
23,,"16,777,216","Z2 x Z4,194,304 "
