Bold Summand,Fermat Summand,m,Structure
,8+16,"16,843,009","Z256 x Z65,536"
0,8+16,"33,686,018","Z256 x Z65,536"
1,1+2+4+16,"66,847,740","(Z2)^2 x Z4 x Z16 x Z65,536"
2,2+4+16,"44,565,160","(Z2)^2 x Z4 x Z16 x Z65,536"
3,1+4+16,"53,478,192","(Z2)^2 x Z4 x Z16 x Z65,536"
4,4+16,"35,652,128","Z2 x Z8 x Z16 x Z65,536"
5,1+2+16,"62,915,520","(Z2)^2 x Z4 x Z16 x Z65,536"
6,2+16,"41,943,680","Z2 x Z4 x Z32 x Z65,536"
7,1+16,"50,332,416","(Z2)^2 x Z64 x Z65,536"
8,16,"33,554,944","Z2 x Z128 x Z65,536"
9,1+2+4+8,"67,107,840",(Z2)^2 x Z4x Z16 x (Z256)^2
10,2+4+8,"44,738,560",(Z2)^2 x Z16 x Z256 x Z512
11,1+4+8,"53,686,272",(Z2)^2 x Z16 x Z256 x Z1024
12,4+8,"35,790,848",Z2 x Z16 x Z256 x Z2048
13,1+2+I 8,"63,160,320",(Z2)^2 x Z4 x Z256 x Z4096
14,2+8,"42,106,880",Z2 x Z4 x Z256 x Z8192
15,1+8,"50,528,256","(Z2)^2 x Z256 x Z16,384"
16,8,"33,685,504","Z2 x Z256 x Z32,768"
17,1+2+4,"66,846,720","(Z2)^2 x Z4 x Z16 x Z65,536"
18,2+4,"44,564,480","Z2 x Z4 x Z16 x Z131,072"
19,1+4,"53,477,376","(Z2)^2 x Z16 x Z262,144"
20,4,"35,651,584","Z2 x Z16 x Z524,288"
21,1+2,"62,914,560","(Z2)^2 x Z4 x Z1,048,576"
22,2,"41,943,040","Z2 x Z4 x Z2,097,152"
23,1,"50,331,648","(Z2)^2 x Z4,194,304"
24,,"33,554,432","Z2 x Z8,388,608"
