Bold Summand,Fermat Summand,m,Structure
,4+8+16,"286,331,153","Z16 x Z256 x Z65,536"
0,4+8+16,"572,662,306","Z16 x Z256 x Z65,536"
1,1+2+8+16,"1,010,580,540","(Z2)^2 x Z4 x Z256 x Z65,536"
2,2+8+16,"673,720,360","(Z2)^2 x Z4 x Z256 x Z65,536"
3,1+8+16,"808,464,432","(Z2)^2 x Z4 x Z256 x Z65,536"
4,8+16,"538,916,288","Z2 x Z8 x Z256 x Z65,536"
5,1+2+4+16,"1,069,563,840","(Z2)^2 x Z4 x (Z16)^2 x Z65,536"
6,2+4+16,"7,134,042,560","Z2 x Z4 x Z16 x Z32 x Z65,536"
7,1+4+16,"855,651,072","(Z2)^2 x Z16 x Z64 x Z65,536"
8,4+16,"570,434,048","Z2 x Z16 x Z128 x Z65,536"
9,1+2+16,"1,006,648,320","(Z2)^2 x Z4 x Z256 x Z65,536"
10,2+16,"671,098,880","Z2 x Z4 x Z512 x Z65,536"
11,1+16,"805,318,656","(Z2)^2 x Z1024 x Z65,536"
12,16,"536,879,104","Z2 x Z2048 x Z65,536"
13,1+2+4+8,"1,073,725,440",(Z2)^2 x Z4 x Z16 x Z256 x Z4096
14,2+4+8,"715,816,960",Z2 x Z4 x Z16 x Z256 x Z8192
15,1+4+8,"858,980,352","(Z2)^2 x Z16 x Z256 x Z16,384"
16,4+8,"572,653,568","Z2 x Z16 x Z256 x Z32,768"
17,1+2+8,"1,010,565,120","(Z2)^2 x Z4 x Z256 x Z65,536"
18,2+8,"673,710,080","Z2 x Z4 x Z256 x Z131,072"
19,1+8,"808,452,096","(Z2)^2 x Z256 x Z262,144"
20,8,"538,968,064","Z2 x Z256 x Z524,288"
21,1+2+4,"1,069,547,520","(Z2)^2 x Z4 x Z16 x Z1,048,576"
22,2+4,"713,031,760","Z2 x Z4 x Z16 x Z2,097,152"
23,1+4,"855,638,016","(Z2)^2 x Z16 x Z4,194,304"
24,4,"570,425,344","Z2 x Z16 x Z8,388,608"
25,1+2,"1,006,632,960","(Z2)^2 x Z4 x Z16,777,216"
26,2,"671,088,640","Z2 x Z4 x Z33,554,432"
27,1,"805,306,368","(Z2)^2 x Z67,108,864"
28,,"536,870,912","Z2 x Z134,217,728"
