Bold Summand,Fermat Summand,m,Structure,Generators
,2+16,"327,685","Z4 x Z65,536",
0,2+16,"655,370","Z4 x Z65,536",
1,1+16,"768,444","(Z2)^2 x Z65,536",
2,16,"524,296","(Z2)^2 x Z65,536",
3,1+2+4+8,"1,048,560",(Z2)^2 x (Z4)^2 x Z16 x Z256,
4,2+4+8,"699,040",Z2 x Z4 x Z8 x Z16 x Z256,
5,1+4+8,"838,848",(Z2)^2 x (Z16)^2 x Z256,
6,4+8,"559,232",Z2 x Z16 x Z32 x Z256,
7,1+2+8,"986,880",(Z2)^2 x Z4 x Z64 x Z256,
8,2+8,"657,920",Z2 x Z4 x Z128 x Z256,
9,1+8,"789,504",(Z2)^2 x (Z256)^2,
10,8,"526,336",Z2 x Z256 x Z512,
11,1+2+4,"1,044,480",(Z2)^2 x Z4 x Z16 x Z1024,
12,2+4,"696,320",Z2 x Z4 x Z16 x Z2048,
13,1+4,"835,584",(Z2)^2 x Z16 x Z4096,
14,4,"557,056",Z2 x Z16 x Z8192,
15,1+2,"983,040","(Z2)^2 x Z4 x Z16,384",
16,2,"655,360","Z2 x Z4 x Z32,768",
17,1,"786,432","(Z2)^2 x Z65,536",
18,,"524,288","Z2 x Z131,072",
