Bold Summand,Fermat Summand,m,Structure,Generators
,1+4,51,Z2 x Z16,"< 35, 5 >"
0,1+4,102,Z2 x Z16,"< 35, 11 >"
1,4,68,Z2 x Z16,"< 35, 3 >"
2,1+2,120,(Z2)^3 x Z4,"< 29, 19, 11, 7 >"
3,2,80,Z2 x (Z4)^2,"< 31, 7, 3 >"
4,1,96,(Z2)^2 x Z8 ,"< 31, 17, 5 >"
5,,64,Z2 x Z16,"< 31, 3 >"
