Bold Summand,Fermat Summand,m,Structure,Generators
,2+8,1285,Z4 x Z256,"< 258, 6 >"
0,2+8,2570,Z4 x Z256,"< 513, 3 >"
1,1+8,3084,(Z2)^2 x Z256,"< 1543, 515, 5 >"
2,8,2056,(Z2)^2 x Z256,"< 1029, 515, 3 >"
3,1+2+4,4080,(Z2)^2 x (Z4)^2 x Z16,"< 271, 239, 47, 13, 7 >"
4,2+4,2720,Z2 x Z4 x Z8 x Z16,"< 239, 33, 13, 3 >"
5,1+4,3264,(Z2)^2 x (Z16)^2,"< 545, 511, 7, 5 >"
6,4,2176,Z2 x Z16 x Z32,"< 511, 7, 3 >"
7,1+2,3840,(Z2)^2 x Z4 x Z64,"< 511, 641, 127, 11 >"
8,2,2560,Z2 x Z4 x Z128,"< 511, 513, 3 >"
9,1,3072,(Z2)^2 x Z256,"< 511, 1025, 5 >"
10,,2048,Z2 x Z512,"< 1023, 3 >"
